,time,rho,Isolation Forest,SVM,Autoencoder,Voted,mean
668,74,3,0,0,0,0,7.56
669,74,4,0,0,0,0,6.28
670,74,5,0,0,0,0,3.73
671,74,6,0,0,0,0,2.07
672,74,7,0,0,0,0,1.28
673,74,8,0,0,0,0,0.51
674,74,9,0,0,0,0,-0.17
675,75,1,0,1,0,0,9.36
676,75,2,0,0,0,0,8.3
677,75,3,0,0,0,0,7.67
678,75,4,0,0,0,0,6.62
679,75,5,0,0,0,0,4.47
680,75,6,0,0,0,0,2.58
681,75,7,0,0,0,0,1.28
682,75,8,0,0,0,0,0.33
683,75,9,0,0,0,0,-0.33
684,76,1,0,1,0,0,9.33
685,76,2,0,1,0,0,8.22
686,76,3,0,0,0,0,7.55
687,76,4,0,0,0,0,6.57
688,76,5,0,1,0,0,4.72
689,76,6,0,1,0,0,3.14
690,76,7,0,1,0,0,1.52
691,76,8,0,0,0,0,0.42
692,76,9,0,0,0,0,-0.21
693,77,1,0,0,0,0,9.44
694,77,2,0,0,0,0,8.32
695,77,3,0,0,0,0,7.66
696,77,4,0,1,0,0,6.55
697,77,5,0,1,0,0,4.68
698,77,6,0,1,0,0,3.04
699,77,7,0,0,0,0,1.51
700,77,8,0,0,0,0,0.52
701,77,9,0,0,0,0,0.0
702,78,1,0,1,0,0,9.3
703,78,2,0,0,0,0,8.26
704,78,3,0,0,0,0,7.63
705,78,4,0,1,0,0,6.61
706,78,5,1,1,0,1,4.92
707,78,6,0,1,0,0,3.03
708,78,7,0,0,0,0,1.56
709,78,8,0,0,0,0,0.75
710,78,9,0,0,0,0,0.06
711,79,1,0,1,0,0,9.34
712,79,2,0,0,0,0,8.24
713,79,3,0,0,0,0,7.57
714,79,4,0,1,0,0,6.46
715,79,5,1,1,0,1,4.77
716,79,6,0,1,0,0,3.25
717,79,7,0,1,0,0,1.71
718,79,8,0,1,0,0,0.93
719,79,9,0,0,0,0,0.34
720,80,1,0,0,0,0,9.36
721,80,2,0,0,0,0,8.21
722,80,3,0,0,0,0,7.59
